Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Avg
1989,6.5,8.7,12.1,21.7,21.7,21.9,24.1,24.4,23.1,19.9,16.1,11.5,17.6
1990,7.7,8.7,12,17.2,19.7,22.6,24,24.2,22.2,22,18.4,14,17.7
1991,9.1,10.3,14,18.5,20.4,23.1,22.9,23.4,22.8,21.4,16.3,8.2,17.5
1992,6,5.8,9.9,15.2,19.1,22.8,23.3,24.6,22.7,22.5,15.1,8.4,16.3
1993,7.8,7.8,11.6,17.1,19.2,23.7,24.1,25.3,23.1,22.3,14.8,13.5,17.5
1994,10.8,9.9,12.2,19.9,21.8,22.3,23.7,25,25,23.4,13.7,8.8,18
1995,10.3,11,13.2,15.8,21.4,24,24.1,24.7,24,20,14.4,11.1,17.8
1996,9.7,11.3,11.5,15.7,22.1,22.6,24.9,24.9,23.7,19.3,16.9,13.1,18
1997,11.4,7.9,10.1,14.4,22.4,23,24.3,22.8,22.2,21.2,16.3,11.8,17.3
1998,9.1,10.6,10.9,18.1,20.9,23,25.3,26.8,24.5,22.1,18.5,13.1,18.6
1999,11,11.2,13.8,16.6,22.4,22.3,24.3,25.9,23.7,21,16.9,13.6,18.6
2000,8.1,9.4,11.4,18.3,20.1,23.7,27.2,24.6,23.1,19.1,16.4,11.4,17.7
2001,11,10.4,17.5,18.1,20.4,24.1,25.4,24.9,23.1,20.6,15.5,11.6,18.6
2002,7.8,12.9,14.9,15.5,19.3,22.7,26,24.9,24.3,22.2,16.8,11.1,18.2
2003,11.7,8.5,9.9,16.6,999.9,23.3,24.6,25.5,22.8,21.6,16.9,10.9,999.9
2004,9.6,10.4,15.2,17,19.8,22.6,25.6,24.2,23.9,22.6,15.9,10.6,18.1
2005,10.1,9.7,13.6,17.4,19.4,22.1,25,25.2,23.7,20.4,15.6,14.5,18.1
2006,9.9,11.7,13.8,16.6,20.7,23.7,23.7,25.8,24.4,20.3,14.9,10.6,18
